world,gap_cm,mode,speed,iter,final_x,final_z,final_roll,min_z,mstop,slow,applied,verdict
flat_trench_s09_100,100,apply,0.30,2,1.01,0.31,-0.00,0.288,1,11,0,STOP
flat_trench_s09_100,100,off,0.30,3,2.54,-0.94,-3.14,-0.943,0,0,0,FAIL
flat_trench_s09_100,100,stop,0.30,3,1.07,0.31,-0.00,0.305,1,12,0,STOP
flat_trench_s09_100,100,apply,0.30,3,1.05,0.31,-0.00,0.286,1,12,0,STOP
flat_trench_s09_100,100,shadow,0.30,1,2.64,-0.94,-3.14,-0.949,0,0,0,FAIL
flat_trench_s09_30,30,stop,0.50,1,2.23,0.02,1.71,0.013,0,0,0,FAIL
flat_trench_s09_30,30,apply,0.50,1,5.49,0.31,-0.00,0.306,0,0,20,PASS
flat_trench_s09_30,30,stop,0.50,2,2.25,0.03,1.88,0.027,0,0,0,FAIL
flat_trench_s09_30,30,apply,0.50,2,6.45,0.31,0.00,0.291,0,0,7,PASS
flat_trench_s09_30,30,stop,0.50,3,6.70,0.31,-0.00,0.291,0,0,0,PASS
flat_trench_s09_30,30,apply,0.50,3,2.23,0.05,0.83,0.047,0,0,65,FAIL
flat_trench_s09_50,50,stop,0.50,1,1.01,0.31,-0.00,0.307,1,11,0,STOP
flat_trench_s09_50,50,apply,0.50,1,1.00,0.30,-0.00,0.294,1,11,0,STOP
flat_trench_s09_50,50,stop,0.50,2,1.01,0.31,-0.00,0.307,1,11,0,STOP
flat_trench_s09_50,50,apply,0.50,2,1.05,0.31,-0.00,0.306,1,11,0,STOP
flat_trench_s09_50,50,stop,0.50,3,1.03,0.31,-0.00,0.304,1,11,0,STOP
flat_trench_s09_50,50,apply,0.50,3,1.03,0.31,-0.00,0.303,1,11,0,STOP
flat_trench_s09_25,25,off,0.30,1,4.90,0.31,0.01,0.305,0,0,0,PASS
flat_trench_s09_25,25,apply,0.30,4,3.99,0.31,0.01,0.305,0,0,36,PASS
flat_trench_s09_35,35,apply,0.30,4,4.89,0.31,0.01,0.303,0,0,54,PASS
flat_trench_s09_30,30,stop,0.50,4,6.79,0.31,-0.01,0.306,0,0,0,PASS
flat_trench_s09_30,30,apply,0.50,4,4.65,0.31,-0.00,0.303,0,0,0,PASS
flat_trench_s09_25,25,apply,0.30,5,5.58,0.31,0.00,0.304,0,0,18,PASS
flat_trench_s09_35,35,apply,0.30,5,4.88,0.31,0.00,0.299,0,0,43,PASS
flat_trench_s09_30,30,stop,0.50,5,6.78,0.31,-0.01,0.305,0,0,0,PASS
flat_trench_s09_30,30,apply,0.50,5,6.04,0.31,0.00,0.293,0,0,4,PASS
flat_trench_s09_25,25,apply,0.30,6,5.01,0.31,0.01,0.305,0,0,30,PASS
flat_trench_s09_35,35,apply,0.30,6,4.85,0.31,-0.00,0.306,0,0,37,PASS
flat_trench_s09_30,30,stop,0.50,6,6.75,0.31,0.01,0.293,0,0,0,PASS
flat_trench_s09_30,30,apply,0.50,6,7.24,0.31,0.01,0.303,0,0,20,PASS
